Date et Heure;Programme;Duree (min);Vitesse Moyenne (km/h);Distance parcourue (km);Calories;Calories/km;Moyenne pulsations/min;Max pulsations/min;Min pulsations/min;FC Repos pulsations/min;VO2;Masse (kg);Masse graisseuse (kg);Taux de graisse;Tour de taille (cm);Fond sonore
01/01/2026 0:00:00;;;;;;;;;;;;;;;;69;;;;
02/01/2026 0:00:00;;;;;;;;;;;;87,0;21,6;24,8%;104;
03/01/2026 0:00:00;;;;;;;;;;;;86,8;23,3;26,8%;102;
04/01/2026 8:15:00;4444444444;45;11,73;8,8;684;77,7;116;131;106;65;30;87,2;20,8;23,9%;103;Stranger Things S05
05/01/2026 5:55:00;4444444444;45;12,13;9,1;716;78,7;116;138;103;65;32;87,5;21,1;24,1%;104;Stranger Things S05
06/01/2026 6:05:00;4444444444;45;11,47;8,6;670;77,9;117;138;93;65;32;86,5;20,5;23,7%;104;Stranger Things S05
07/01/2026 6:20:00;4444444444;45;11,47;8,6;668;77,7;116;124;99;64;29;87,2;21,2;24,3%;103;Stranger Things S05
08/01/2026 6:05:00;4444444444;45;11,73;8,8;687;78,1;119;130;117;66;30;86,4;20,5;23,7%;103;Stranger Things S05
09/01/2026 6:15:00;4444444444;45;12,00;9,0;701;77,9;123;140;111;67;31;86,2;20,0;23,2%;102;Stranger Things S05
10/01/2026 7:15:00;4444444444;45;12,13;9,1;708;77,8;121;145;105;67;32;86,7;20,3;23,4%;103;Stranger Things S05
11/01/2026 7:00:00;4444444444;45;11,47;8,6;670;77,9;111;120;102;67;27;86,4;20,1;23,3%;103;The Thing (1982)
12/01/2026 6:10:00;4444444444;45;11,33;8,5;664;78,1;117;123;111;72;26;87,1;20,3;23,3%;103;The Thing (1982)
13/01/2026 6:20:00;4444444444;45;12,40;9,3;722;77,6;119;133;112;65;31;86,6;20,5;23,7%;104;The Thing + Love, Death & Robots S04
14/01/2026 6:05:00;4444444444;45;12,93;9,7;753;77,6;126;161;117;64;38;86,0;20,3;23,6%;104;Love, Death & Robots S04
15/01/2026 6:15:00;4444444444;45;11,60;8,7;678;77,9;114;120;108;65;28;86,2;20,1;23,3%;103;Gone Girl (2014)
16/01/2026 7:01:00;4444444444;45;11,73;8,8;685;77,8;114;127;101;63;30;86,2;19,8;23,0%;103;Gone Girl (2014)
17/01/2026 0:00:00;;;;;;;;;;;;;;;;66;;;;
18/01/2026 0:00:00;;;;;;;;;;;;86,4;20,7;24,0%;104;
19/01/2026 6:10:00;4444444444;45;12,13;9,1;707;77,7;118;140;92;64;33;86,2;20,6;23,9%;104;Gone Girl (2014)
20/01/2026 6:15:00;4444444444;45;12,80;9,6;745;77,6;127;146;111;63;35;;;;;Weapons (2025)
